,Time,green_energy_0,green_energy_1,green_energy_2,green_energy_3,green_energy_4,green_energy_5,green_energy_6,green_energy_7,green_energy_8,load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8
0,2022-01-01 00:00:00,17603.0,0.0,43598.0,3821.0,16902.0,2250.0,5785.0,4641.0,4449.0,20827.0,0.0,42196.0,3314.0,15331.0,4254.0,21121.0,14438.0,10326.0
1,2022-01-01 01:00:00,17184.0,0.0,174116.0,3774.0,16946.0,9228.0,5715.5,4491.0,16327.0,19530.0,0.0,165125.0,3218.0,15331.0,16457.0,19756.0,13935.0,40706.0
2,2022-01-01 02:00:00,17497.0,0.0,168446.0,3478.0,16875.0,9374.0,5914.0,4436.0,14713.0,18383.0,0.0,160415.0,3126.0,15270.0,15426.0,18685.0,13579.0,39465.0
3,2022-01-01 03:00:00,17712.0,0.0,164624.0,3212.0,16349.0,9406.0,6074.5,4568.0,14893.0,17680.0,0.0,158035.0,3080.0,15150.0,14781.0,18124.0,13397.0,38923.0
4,2022-01-01 04:00:00,17605.0,0.0,158479.0,3021.0,16609.0,9138.0,5630.0,4559.0,14878.0,17396.0,0.0,157016.0,3044.0,15387.0,14630.0,18400.0,13364.0,38211.0
5,2022-01-01 05:00:00,17228.0,0.0,148685.0,2892.0,16691.0,9155.0,5387.5,4374.0,14690.0,17544.0,0.0,154552.0,3130.0,15737.0,14688.0,19223.0,13449.0,38146.0
6,2022-01-01 06:00:00,17294.0,0.0,146048.0,2744.0,16948.0,9292.0,5909.0,4303.0,14661.0,17866.0,0.0,154275.0,3238.0,16054.0,14960.0,19738.0,13444.0,38956.0
7,2022-01-01 07:00:00,17463.0,0.0,139535.0,2463.0,17597.0,9478.0,7050.0,4370.0,14038.0,17806.0,0.0,157356.0,3378.0,16455.0,15034.0,20289.0,13527.0,39968.0
8,2022-01-01 08:00:00,19702.0,0.0,134241.0,1977.0,17614.0,10299.0,8355.0,4540.0,14172.0,18533.0,0.0,163000.0,3537.0,16943.0,15259.0,21469.0,14202.0,40808.0
9,2022-01-01 09:00:00,22540.0,0.0,135772.0,1820.0,17508.0,11456.0,9098.5,4402.0,14965.0,20018.0,0.0,171858.0,3714.0,17476.0,15551.0,22735.0,14851.0,41742.0
10,2022-01-01 10:00:00,23979.0,0.0,137699.0,1770.0,17291.0,11962.0,9788.0,4266.0,16903.0,20989.0,0.0,179829.0,3818.0,17657.0,16045.0,23636.0,15643.0,42796.0
11,2022-01-01 11:00:00,23938.0,0.0,139925.0,2002.0,17186.0,11967.0,10385.5,4014.0,17664.0,21514.0,0.0,188335.0,3893.0,17521.0,16500.0,24182.0,16235.0,42494.0
12,2022-01-01 12:00:00,23542.0,0.0,139060.0,2075.0,17224.0,11699.0,10371.5,3571.0,18472.0,22105.0,0.0,188528.0,3943.0,17542.0,16966.0,23270.0,16712.0,42294.0
13,2022-01-01 13:00:00,22947.0,0.0,133803.0,2291.0,17409.0,10895.0,9698.0,3103.0,18682.0,22384.0,0.0,184922.0,3915.0,17783.0,17195.0,22755.0,16874.0,43153.0
14,2022-01-01 14:00:00,22796.0,0.0,125450.0,2680.0,17891.0,9984.0,7788.5,2656.0,18679.0,21106.0,0.0,182733.0,3988.0,18417.0,17488.0,22881.0,17032.0,44379.0
15,2022-01-01 15:00:00,21152.0,0.0,116444.0,3380.0,18466.0,9362.0,7080.5,2368.0,18609.0,20617.0,0.0,183467.0,4213.0,18620.0,18052.0,23818.0,17715.0,45865.0
16,2022-01-01 16:00:00,18238.0,0.0,123875.0,3948.0,18918.0,9264.0,8181.5,2427.0,18245.0,21096.0,0.0,195571.0,4473.0,18778.0,19157.0,26742.0,17887.0,48406.0
17,2022-01-01 17:00:00,17386.0,0.0,134577.0,4520.0,19274.0,9276.0,8140.5,2133.0,19203.0,23211.0,0.0,207259.0,4407.0,18621.0,19169.0,27672.0,17929.0,52021.0
18,2022-01-01 18:00:00,17833.0,0.0,143482.0,4972.0,19574.0,9141.0,9312.0,1990.0,19808.0,24435.0,0.0,208694.0,4133.0,17942.0,19117.0,28393.0,17898.0,51429.0
19,2022-01-01 19:00:00,18164.0,0.0,148205.0,5228.0,20020.0,9006.0,8551.0,1944.0,19832.0,24964.0,0.0,203720.0,3970.0,17481.0,19077.0,27996.0,17594.0,49999.0
20,2022-01-01 20:00:00,18337.0,0.0,146230.0,5273.0,20414.0,9012.0,7455.0,1715.0,18933.0,25189.0,0.0,196041.0,3821.0,17048.0,18695.0,26693.0,16972.0,47940.0
21,2022-01-01 21:00:00,17977.0,0.0,148080.0,5068.0,20460.0,8958.0,5994.0,1625.0,17725.0,24134.0,0.0,191635.0,3619.0,16461.0,18142.0,24635.0,16426.0,46052.0
22,2022-01-01 22:00:00,17641.0,0.0,149838.0,4923.0,20404.0,8874.0,5083.5,1393.0,17318.0,22552.0,0.0,187527.0,3462.0,16048.0,17310.0,22404.0,15411.0,44113.0
23,2022-01-01 23:00:00,17100.0,0.0,150614.0,4254.0,19601.0,8849.0,4998.0,1765.0,17685.0,21048.0,0.0,176366.0,3351.0,15924.0,16380.0,20428.0,14480.0,42275.0
24,2022-01-02 00:00:00,16769.0,0.0,160396.0,4135.0,19110.0,8828.0,4998.5,2295.0,17861.0,19473.0,0.0,170078.0,3173.0,15328.0,15480.0,18989.0,13833.0,41053.0
25,2022-01-02 01:00:00,16497.0,0.0,160785.0,4132.0,18926.0,8755.0,5328.0,2740.0,18624.0,18375.0,0.0,164923.0,3128.0,15037.0,14901.0,18083.0,13451.0,39562.0
26,2022-01-02 02:00:00,16531.0,0.0,158541.0,3907.0,17967.0,8593.0,5549.0,3180.0,18791.0,17841.0,0.0,162519.0,3093.0,14770.0,14342.0,17740.0,13267.0,38687.0
27,2022-01-02 03:00:00,16472.0,0.0,158880.0,3990.0,17449.0,8505.0,5647.0,3607.0,18761.0,17539.0,0.0,162753.0,3063.0,14706.0,14142.0,17737.0,13326.0,38236.0
28,2022-01-02 04:00:00,16219.0,0.0,156134.0,3988.0,17212.0,8531.0,4783.0,3775.0,18879.0,17684.0,0.0,163004.0,3149.0,14752.0,14436.0,18409.0,13714.0,38283.0
29,2022-01-02 05:00:00,15781.0,0.0,154429.0,3875.0,17203.0,8702.0,4727.0,3982.0,18878.0,18353.0,0.0,162453.0,3260.0,15202.0,15008.0,19869.0,14230.0,38979.0
30,2022-01-02 06:00:00,15340.0,0.0,150093.0,3838.0,17961.0,8824.0,4730.0,4006.0,18853.0,19223.0,0.0,162596.0,3455.0,15916.0,16122.0,21148.0,14542.0,40264.0
31,2022-01-02 07:00:00,15278.0,0.0,158139.0,3816.0,18320.0,8967.0,5692.0,4155.0,19590.0,19936.0,0.0,171915.0,3722.0,16545.0,16881.0,22332.0,14960.0,42237.0
32,2022-01-02 08:00:00,16646.0,0.0,167474.0,3674.0,19125.0,9790.0,6999.0,4655.0,19950.0,21531.0,0.0,185202.0,3905.0,16960.0,17859.0,23775.0,15855.0,44702.0
33,2022-01-02 09:00:00,18806.0,0.0,177464.0,3518.0,19302.0,11019.0,8427.0,5087.0,20533.0,23286.0,0.0,195494.0,4097.0,17299.0,18359.0,24697.0,16709.0,46562.0
34,2022-01-02 10:00:00,20128.0,0.0,190515.0,3155.0,19171.0,11498.0,9445.0,5309.0,20506.0,24126.0,0.0,205032.0,4167.0,17428.0,18526.0,25360.0,17032.0,46441.0
35,2022-01-02 11:00:00,20749.0,0.0,202836.0,2811.0,19129.0,11365.0,10092.0,5460.0,20664.0,24202.0,0.0,216802.0,4198.0,17553.0,18846.0,26123.0,17414.0,47998.0
36,2022-01-02 12:00:00,20804.0,0.0,209190.0,2356.0,18976.0,11011.0,10006.5,5319.0,20949.0,24673.0,0.0,217096.0,4212.0,17792.0,18756.0,25308.0,18006.0,48585.0
37,2022-01-02 13:00:00,20477.0,0.0,211224.0,2390.0,18942.0,10290.0,8573.5,4891.0,20715.0,24921.0,0.0,212695.0,4191.0,17912.0,18838.0,24751.0,17914.0,47660.0
38,2022-01-02 14:00:00,19977.0,0.0,210202.0,2670.0,18933.0,9453.0,7307.0,4986.0,20346.0,23869.0,0.0,210911.0,4301.0,18077.0,19191.0,24918.0,18024.0,47919.0
39,2022-01-02 15:00:00,18031.0,0.0,211091.0,3250.0,18794.0,8759.0,6874.5,5540.0,20240.0,23258.0,0.0,214431.0,4521.0,18265.0,19941.0,26049.0,18627.0,48988.0
40,2022-01-02 16:00:00,15053.0,0.0,213548.0,3756.0,18779.0,8622.0,9503.0,6536.0,19396.0,23642.0,0.0,225625.0,4873.0,18541.0,21433.0,28970.0,18737.0,51783.0
41,2022-01-02 17:00:00,14298.0,0.0,214704.0,4366.0,18605.0,8605.0,9848.0,7031.0,19567.0,25965.0,0.0,235222.0,4735.0,18424.0,21539.0,30088.0,18753.0,55587.0
42,2022-01-02 18:00:00,15568.0,0.0,217320.0,4974.0,18343.0,8558.0,9906.0,6948.0,19223.0,27307.0,0.0,234292.0,4433.0,18010.0,21399.0,30781.0,18774.0,54121.0
43,2022-01-02 19:00:00,15975.0,0.0,214793.0,5062.0,18176.0,8597.0,9478.0,6649.0,19390.0,28243.0,0.0,227205.0,4183.0,17305.0,21157.0,29662.0,18378.0,52577.0
